,fullname,points,position
183,Brenton Bersin,0.0,WR
184,Josh Bellamy,19.7,WR
185,Griff Whalen,0.0,WR
186,Garrett Celek,21.0,TE
187,Giorgio Tavecchio,29.0,K
188,Derrick Coleman,2.0,RB
189,Austin Davis,0.0,QB
190,Brandon Bolden,26.4,RB
191,Derek Carrier,12.7,TE
192,Rod Streater,-1.1,WR
193,Deonte Thompson,16.1,WR
194,Case Keenum,229.9,QB
195,Phillip Supernaw,0.0,TE
196,Justin Tucker,160.0,K
197,Jamize Olawale,1.3,RB
198,Alex Tanney,0.0,QB
199,Josh Gordon,97.7,WR
200,Andrew DePaola,0.0,TE
201,Fozzy Whittaker,0.0,RB
202,Austin Johnson,0.0,RB
203,Darren Fells,29.7,TE
204,Tavon Austin,31.5,WR
205,EJ Manuel,0.0,QB
206,Tyler Eifert,23.9,TE
207,DeAndre Hopkins,218.5,WR
208,Cordarrelle Patterson,75.5,WR
209,Justin Hunter,2.1,WR
210,Zach Ertz,164.3,TE
211,Giovani Bernard,60.9,RB
212,Geno Smith,-1.48,QB
213,Robert Woods,179.6,WR
214,Gavin Escobar,0.0,TE
215,Le'Veon Bell,0.0,RB
216,Vance McDonald,83.0,TE
217,Eddie Lacy,0.0,RB
218,Christine Michael,0.9,RB
219,Travis Kelce,191.6,TE
220,Mike Glennon,10.96,QB
221,Terrance Williams,1.8,WR
222,Keenan Allen,163.1,WR
223,Marquise Goodwin,64.4,WR
224,Markus Wheaton,0.0,WR
225,Jordan Reed,65.8,TE
226,Knile Davis,0.0,RB
227,Matt Barkley,17.08,QB
228,Dion Sims,0.9,TE
229,Landry Jones,0.0,QB
230,Kyle Juszczyk,37.4,RB
231,Levine Toilolo,32.3,TE
232,Kenny Stills,97.42,WR
233,Chris Thompson,50.6,RB
234,Luke Willson,8.7,TE
235,Tavarres King,0.0,WR
236,Mike Gillislee,3.2,RB
237,Caleb Sturgis,39.0,K
238,Dustin Hopkins,121.0,K
239,Latavius Murray,109.9,RB
240,Kenjon Barner,7.4,RB
241,Mychal Rivera,0.0,TE
242,Andre Ellington,0.0,RB
243,Mike James,0.0,RB
244,Rex Burkhead,35.7,RB
245,Spencer Ware,59.0,RB
246,Cobi Hamilton,0.0,WR
247,Theo Riddick,55.5,RB
248,Ryan Griffin,30.5,TE
249,Brice Butler,12.0,WR
250,Tommy Bohanon,4.1,RB
251,Charles Johnson,0.0,WR
252,Chris Gragg,0.0,TE
253,Kerwynn Williams,0.0,RB
254,Marquess Wilson,0.0,WR
255,C.J. Anderson,62.4,RB
256,Ryan Griffin,0.0,QB
257,Josh Hill,24.5,TE
258,Tim Wright,0.0,TE
259,Russell Shepard,30.8,WR
260,Jaron Brown,46.6,WR
261,Brandon Williams,0.0,TE
262,Brandon McManus,106.0,K
263,Zach Line,17.5,RB
264,Benny Cunningham,2.9,RB
265,Tyler Bray,0.0,QB
266,Demetrius Harris,34.4,TE
267,Nick Williams,1.7,WR
268,MarQueis Gray,0.0,TE
269,Kevin McDermott,0.0,TE
270,Adam Thielen,194.3,WR
271,Jack Doyle,34.5,TE
272,Rashad Ross,0.0,WR
273,George Winn,0.0,RB
274,Brett Maher,138.0,K
275,Marlon Brown,0.0,WR
276,Matt McGloin,0.0,QB
277,James Winchester,0.0,TE
278,Blake Bortles,184.22,QB
279,Sammy Watkins,75.1,WR
280,Mike Evans,204.4,WR
281,Eric Ebron,156.2,TE
282,Odell Beckham Jr.,153.34,WR
283,Brandin Cooks,163.2,WR
284,Kelvin Benjamin,44.0,WR
285,Teddy Bridgewater,8.22,QB
286,Derek Carr,225.76,QB
287,Austin Seferian-Jenkins,15.0,TE
288,Marqise Lee,0.0,WR
289,Jordan Matthews,42.0,WR
290,Paul Richardson Jr.,39.1,WR
291,Jace Amaro,0.0,TE
292,Troy Niklas,0.0,TE
293,Davante Adams,218.6,WR
294,Jeremy Hill,3.1,RB
295,Cody Latimer,25.0,WR
296,Carlos Hyde,88.4,RB
297,Allen Robinson II,98.3,WR
298,Jimmy Garoppolo,51.02,QB
299,Jarvis Landry,136.12,WR
300,C.J. Fiedorowicz,0.0,TE
301,Charles Sims,0.0,RB
302,Josh Huff,0.0,WR
303,Donte Moncrief,82.8,WR
304,John Brown,101.9,WR
305,Terrance West,0.0,RB
306,Jerick McKinnon,0.0,RB
307,Richard Rodgers,0.7,TE
308,Devonta Freeman,9.1,RB
309,Bruce Ellington,28.6,WR
310,Martavis Bryant,26.9,WR
311,Logan Thomas,8.3,TE
312,De'Anthony Thomas,9.5,WR
313,James White,189.6,RB
314,Tom Savage,0.0,QB
315,Ryan Grant,39.4,WR
