,fullname,points,position
797,Anthony Kukwa,0.0,TE
798,Isaac Whitney,0.0,WR
799,Malcolm Lewis,0.0,WR
800,Drew Morgan,0.0,WR
801,Francis Owusu,0.0,WR
802,De'Veon Smith,0.0,RB
803,Damore'ea Stringfellow,0.0,WR
804,Austin Carr,21.7,WR
805,LeShun Daniels Jr.,0.0,RB
806,Cody Hollister,0.0,WR
807,Jacob Hollister,5.2,TE
808,Gehrig Dieter,2.2,WR
809,Marcus Kemp,0.7,WR
810,Emanuel Byrd,0.0,TE
811,Devine Redding,0.0,RB
812,Corey Clement,59.1,RB
813,Greg Ward Jr.,0.0,WR
814,Joel Bouagnon,0.0,RB
815,Tanner Gentry,0.0,WR
816,Kermit Whitfield,0.0,WR
817,Keeon Johnson,0.0,WR
818,Travis Rudolph,0.0,WR
819,Shane Smith,0.0,RB
820,Colin Thompson,0.0,TE
821,Tyler Ferguson,0.0,QB
822,Akeem Judd,0.0,RB
823,Billy Brown,0.0,TE
824,Algernon Brown,0.0,RB
825,Tyrone Swoopes,2.3,TE
826,Brandon Barnes,0.0,TE
827,Dontez Ford,0.0,WR
828,Tion Green,0.0,RB
829,Robert Tonyan,13.7,TE
830,Brian Brown,0.0,WR
831,Blake Jarwin,48.7,TE
832,Cooper Rush,0.0,QB
833,Evan Baylis,0.0,TE
834,Zach Conque,0.0,TE
835,Riley McCarron,-2.0,WR
836,Kyle Sloter,0.0,QB
837,Reggie Davis,0.0,WR
838,Trey Edmunds,0.0,RB
839,Dare Ogunbowale,0.0,RB
840,Chris Thompson,0.0,WR
841,Justin Thomas,0.0,WR
842,Lenard Tillery,0.0,RB
843,Colby Pearson,0.0,WR
844,Alex Gray,0.0,TE
845,Dan Arnold,21.0,WR
846,Lance Lenoir,0.0,WR
847,Fred Brown,0.0,WR
848,Adam Zaruba,0.0,TE
849,Darius Victor,0.0,RB
850,Marvin Bracy,0.0,WR
851,Dan Williams III,0.0,WR
852,Rashard Davis,0.0,WR
853,Justice Liggins,0.0,WR
854,River Cracraft,2.4,WR
855,Kent Taylor,0.0,TE
856,Jevoni Robinson,0.0,TE
857,Brandon Zylstra,2.3,WR
858,Chris Bazile,0.0,TE
859,Lamar Atkins,0.0,WR
860,Baker Mayfield,254.1,QB
861,Saquon Barkley,294.8,RB
862,Sam Darnold,183.4,QB
863,Josh Allen,220.06,QB
864,Josh Rosen,126.92,QB
865,D.J. Moore,102.0,WR
866,Hayden Hurst,22.3,TE
867,Calvin Ridley,142.8,WR
868,Rashaad Penny,61.4,RB
869,Sony Michel,132.1,RB
870,Lamar Jackson,160.54,QB
871,Nick Chubb,174.5,RB
872,Ronald Jones II,13.7,RB
873,Courtland Sutton,94.3,WR
874,Mike Gesicki,18.2,TE
875,Kerryon Johnson,107.4,RB
876,Dante Pettis,76.5,WR
877,Christian Kirk,80.5,WR
878,Dallas Goedert,57.4,TE
879,Anthony Miller,87.22,WR
880,Derrius Guice,0.0,RB
881,James Washington,27.7,WR
882,D.J. Chark Jr.,15.4,WR
883,Royce Freeman,87.3,RB
884,Mason Rudolph,0.0,QB
885,Michael Gallup,64.7,WR
886,Mark Andrews,73.2,TE
887,Tre'Quan Smith,72.7,WR
888,Jordan Akins,22.5,TE
889,Ian Thomas,45.3,TE
890,Keke Coutee,34.7,WR
891,Nyheim Hines,97.9,RB
892,Antonio Callaway,89.3,WR
893,Chris Herndon,74.2,TE
894,Kyle Lauletta,-1.2,QB
895,Mark Walton,7.5,RB
896,DaeSean Hamilton,36.3,WR
897,Will Dissly,27.6,TE
898,Durham Smythe,5.0,TE
899,Ito Smith,70.7,RB
900,Kalen Ballage,28.7,RB
901,Jaleel Scott,0.0,WR
902,J'Mon Moore,-0.5,WR
903,Chase Edmonds,43.1,RB
904,Dalton Schultz,11.6,TE
905,Justin Watson,0.5,WR
906,Troy Fumagalli,0.0,TE
907,Tyler Conklin,7.7,TE
908,Reece Fountain,0.0,WR
909,Jordan Lasley,0.0,WR
910,Jaylen Samuels,63.5,RB
911,Daniel Carlson,90.0,K
912,Jordan Wilkins,44.1,RB
913,Mike White,0.0,QB
914,Marquez Valdes-Scantling,73.0,WR
915,John Kelly,10.1,RB
916,Damion Ratley,14.4,WR
917,Deon Cain,0.0,WR
918,Ray-Ray McCloud III,2.0,WR
919,Dylan Cantrell,0.0,WR
920,Russell Gage,6.3,WR
921,Luke Falk,0.0,QB
922,Boston Scott,0.0,RB
923,Tanner Lee,0.0,QB
924,Trenton Cannon,31.7,RB
925,Equanimeous St. Brown,33.3,WR
926,Cedrick Wilson,0.0,WR
927,Braxton Berrios,0.0,WR
928,Jordan Thomas,45.5,TE
929,Danny Etling,0.0,QB
930,Alex McGough,0.0,QB
931,Javon Wims,3.2,WR
932,David Williams,3.6,RB
933,Marcell Ateman,21.4,WR
934,Jason Sanders,98.0,K
935,Bo Scarbrough,0.0,RB
936,Nick Bawden,0.0,RB
937,Richie James Jr.,23.0,WR
938,Logan Woodside,0.0,QB
939,Ryan Izzo,0.0,TE
940,Justin Jackson,46.1,RB
941,Auden Tate,3.5,WR
942,Austin Proehl,0.0,WR
943,Trey Quinn,13.5,WR
944,Jeff Badet,0.0,WR
945,Mike Boone,4.8,RB
946,Armanti Foreman,0.0,WR
947,Tyler Hoppes,0.0,TE
948,Kamryn Pettway,0.0,RB
949,Peter Pujals,0.0,QB
950,Korey Robertson,0.0,WR
951,Roc Thomas,5.1,RB
952,Jake Wieneke,0.0,WR
953,Andre Levrone,0.0,WR
954,Jaelon Acklin,0.0,WR
955,Austin Allen,0.0,QB
956,Sergio Bailey II,0.0,WR
957,Donnie Ernsberger,0.0,TE
958,Tanner Hudson,0.0,RB
959,Trevor Moore,0.0,K
960,Allen Lazard,0.7,WR
961,Dorren Miller,0.0,WR
962,Erv Philips,0.0,WR
963,Jason Reese,0.0,TE
964,Shaun Wilson,3.4,RB
965,Dalton Sturm,0.0,QB
966,Jordan Chunn,0.0,RB
967,Malik Earl,0.0,WR
968,Marchie Murdock,0.0,WR
969,David Wells,0.0,TE
970,Alec Bloom,0.0,TE
971,Kyle Allen,26.54,QB
972,Reggie Bonnafon,0.0,RB
973,Charles Kanoff,0.0,QB
974,Matt McCrane,36.0,K
975,Austin Ramesh,0.0,RB
976,Trent Sherfield,27.0,WR
977,Jalen Tolliver,3.7,WR
978,Jonah Trinnaman,0.0,WR
979,Andrew Vollert,0.0,TE
980,Corey Willis,0.0,WR
981,Steven Dunbar Jr.,0.0,WR
982,Ross Dwelley,1.4,TE
983,Jack Heneghan,0.0,QB
984,Christopher Ezeala,0.0,RB
985,Kurt Benkert,0.0,QB
986,Demario Richard,0.0,RB
987,Justin Crawford,0.0,RB
988,Malik Williams,0.0,RB
989,Daniel Marx,0.0,RB
990,Luke McNitt,0.0,RB
991,Jake Roh,0.0,TE
992,Troy Mangen,0.0,TE
993,Christian Blake,0.0,WR
994,Detrich Clark,0.0,WR
995,Devin Gray,0.0,WR
996,Dontez Byrd,0.0,WR
997,Lamar Jordan,0.0,WR
998,David Marvin,0.0,K
999,Christian Scotland-Williamson,0.0,TE
1000,J.T. Barrett IV,0.0,QB
1001,Michael Badgley,79.0,K
1002,Steve Ishmael,0.0,WR
1003,John Diarse,0.0,WR
1004,Phillip Lindsay,187.8,RB
1005,Jimmy Williams III,0.0,WR
1006,Ricky Jeune,0.0,WR
1007,LaQuvionte Gonzalez,0.0,WR
1008,Steven Mitchell Jr.,0.0,WR
1009,Jeff Wilson Jr.,32.4,RB
1010,Martez Carter,0.0,RB
1011,Simmie Cobbs Jr.,0.0,WR
1012,Shay Fields,0.0,WR
1013,Matt Flanagan,1.4,TE
1014,Mikah Holder,0.0,WR
1015,De'Mornay Pierson-El,0.0,WR
1016,Cam Sims,0.0,WR
1017,Elijah Wellman,0.0,RB
1018,Nate Wozniak,0.0,TE
1019,Mark Thompson,0.0,RB
1020,Gus Edwards,87.8,RB
1021,De'Lance Turner,2.1,RB
1022,Nick Keizer,0.0,TE
1023,Tim Boyle,0.0,QB
1024,Kevin Rader,0.0,TE
1025,Dimitri Flowers,0.0,RB
1026,Evan Berry,0.0,WR
1027,Dontrell Hilliard,9.5,RB
1028,Da'Mari Scott,0.0,WR
1029,Derrick Willies,6.1,WR
1030,Ka'Raun White,0.0,WR
1031,Caleb Scott,0.0,WR
1032,Taj Williams,0.0,WR
1033,Marcus Martin,0.0,RB
1034,Khalid Hill,0.0,RB
1035,Marcus Baugh,0.0,TE
1036,Saeed Blacknall,0.0,WR
1037,Eddy Pineiro,0.0,K
1038,Nick Sharga,0.0,RB
1039,Jarvion Franklin,0.0,RB
1040,Quadree Henderson,0.0,WR
1041,Chase Litton,0.0,QB
1042,Blake Mack,0.0,TE
1043,Elijah Marks,0.0,WR
1044,J.D. Moore,0.0,RB
1045,Byron Pringle,0.0,WR
1046,Darrel Williams,13.1,RB
1047,Ryan Smith,0.0,TE
1048,Julian Allen,0.0,TE
1049,Janarion Grant,0.0,WR
1050,Chad Beebe,3.9,WR
1051,Johnny Stanton,0.0,RB
1052,Henry Poggi,0.0,RB
1053,Chris Warren III,0.0,RB
1054,Paul Butler,0.0,TE
1055,Keith Kirkwood,32.9,WR
1056,Deon Yelder,0.0,TE
1057,Jordan Smallwood,0.0,WR
1058,Pharoah McKever,0.0,TE
1059,Buddy Howell,0.0,RB
1060,Greg Joseph,83.0,K
1061,Quincy Redmon,0.0,WR
1062,Stephen Baggett,0.0,TE
1063,Jawill Davis,4.0,WR
1064,Devonte Boyd,0.0,WR
1065,Quinton Flowers,0.0,RB
1066,Jordan Franks,3.7,TE
1067,Ray Lawry,0.0,RB
1068,Josh Adams,74.9,RB
1069,Anthony Mahoungou,0.0,WR
1070,Lavon Coleman,0.0,RB
1071,Vyncint Smith,15.1,WR
1072,Terry Swanson,0.0,RB
1073,Jester Weah,0.0,WR
1074,Keith Ford,10.0,RB
1075,Cam Phillips,0.9,WR
1076,Robert Foster,72.1,WR
1077,Tyler Davis,0.0,K
1078,Elijaah Goins,0.0,WR
1079,Dalyn Dawkins,0.0,RB
1080,Larry Rose III,0.0,RB
1081,Akrum Wadley,0.0,RB
1082,Cameron Batson,8.3,WR
1083,Deontay Burnett,14.3,WR
1084,Devin Ross,0.0,WR
1085,Jordan Veasy,0.0,WR
1086,Ethan Wolf,0.0,TE
1087,DeAndre Goolsby,0.0,TE
1088,Kyle Lewis,0.0,RB
1089,Brandon Powell,13.3,WR
1090,Teo Redding,0.0,WR
1091,Darren Andrews,0.0,WR
1092,Chris Lacy,0.0,WR
1093,Ralph Webb,0.0,RB
1094,Shane Wimann,0.0,TE
1095,Dejon Allen,0.0,TE
1096,Garrett Johnson,0.0,WR
1097,Ryan Nall,0.0,RB
1098,Shaq Roland,0.0,WR
1099,Cole Hunt,0.0,TE
1100,Ben Johnson,0.0,TE
1101,J.J. Jones,-1.7,WR
1102,Anthony Manzo-Lewis,0.0,RB
1103,Detrez Newsome,6.8,RB
1104,Nic Shimonek,0.0,QB
1105,Brogan Roback,0.0,QB
1106,Zach Olstad,0.0,RB
1107,Damoun Patterson,0.0,WR
1108,Robert Martin,0.0,RB
1109,Deontez Alexander,0.0,WR
1110,Matt Fleming,0.0,WR
1111,Ryan Yurachek,0.0,RB
1112,C.J. Duncan,0.0,WR
1113,Tim Wilson,0.0,WR
1114,Clayton Wilson,0.0,TE
1115,Darvin Kidsy,0.8,WR
1116,Nick Holley,0.0,RB
1117,Codey McElroy,0.0,WR
1118,Luis Perez,0.0,QB
1119,Davon Grayson,0.0,WR
1120,Eldridge Massington,0.0,WR
1121,Nick Stevens,0.0,QB
1122,Kayaune Ross,0.0,WR
1123,Garrett Hudson,0.0,TE
1124,Austin Roberts,0.0,TE
1125,Sherman Badie,0.0,RB
1126,Jaeden Graham,0.0,TE
1127,Garrett Dickerson,0.0,TE
1128,Josh Crockett,0.0,WR
1129,Josh Smith,0.0,WR
1130,Aaron Lacombe,0.0,WR
1131,KhaDarel Hodge,1.7,WR
1132,Cam Serigne,0.0,TE
1133,Adonis Jennings,0.0,WR
1134,Jared Murphy,0.0,WR
1135,Mark Chapman,0.0,WR
1136,Blake Jackson,0.0,WR
1137,Malik Turner,2.0,WR
1138,James Butler,0.0,RB
1139,Marcus Peterson,0.0,WR
1140,Bryce Bobo,0.0,WR
1141,Gerald Holmes,0.0,RB
1142,Austin Wolf,0.0,WR
1143,Darren Carrington II,0.0,WR
1144,Justin Stockton,0.0,RB
1145,Darius Prince,0.0,WR
1146,Allenzae Staggers,0.0,WR
1147,Kobe McCrary,0.0,RB
1148,Julian Williams,0.0,WR
1149,John Wolford,0.0,QB
1150,Connor Jessop,0.0,QB
1151,Ja'Quan Gardner,0.0,RB
1152,Atlanta,81.0,DEF
1153,Buffalo,107.0,DEF
1154,Chicago,187.0,DEF
1155,Cincinnati,86.0,DEF
1156,Cleveland,102.0,DEF
1157,Dallas,98.0,DEF
1158,Denver,132.0,DEF
1159,Detroit,100.0,DEF
1160,Green Bay,95.0,DEF
1161,Tennessee,119.0,DEF
1162,Indianapolis,120.0,DEF
1163,Kansas City,132.0,DEF
1164,Oakland,47.0,DEF
1165,Los Angeles,154.0,DEF
1166,Miami,120.0,DEF
1167,Minnesota,124.0,DEF
1168,New England,139.0,DEF
1169,New Orleans,112.0,DEF
1170,New York,84.0,DEF
1171,New York,109.0,DEF
1172,Philadelphia,97.0,DEF
1173,Arizona,105.0,DEF
1174,Pittsburgh,116.0,DEF
1175,Los Angeles,110.0,DEF
1176,San Francisco,58.0,DEF
1177,Seattle,123.0,DEF
1178,Tampa Bay,68.0,DEF
1179,Washington,120.0,DEF
1180,Carolina,90.0,DEF
1181,Jacksonville,115.0,DEF
1182,Baltimore,132.0,DEF
1183,Houston,148.0,DEF
